id,code,month,Value
1,DE,2024-06,648
2,DE,2025-08,101
3,IT,2024-08,380
4,IE,2024-05,169
5,US,2025-06,538
6,US,2024-06,39
7,ES,2025-03,581
8,US,2024-03,742
9,US,2024-06,52
10,DE,2024-09,983
11,US,2024-09,558
12,US,2025-06,962
13,US,2024-05,928
14,US,2025-08,653
15,IT,2024-09,457
16,EE,2025-01,636
17,US,2024-06,760
18,US,2024-02,580
19,US,2024-10,486
20,IT,2024-03,64
21,US,2025-10,682
22,ES,2024-03,795
23,US,2024-12,350
24,PL,2024-02,85
25,US,2024-06,538
26,IT,2025-01,772
27,US,2025-08,439
28,ES,2025-08,293
29,US,2025-04,415
30,IT,2024-11,677
31,US,2024-09,469
32,US,2025-11,28
33,US,2025-06,115
34,IE,2025-11,181
35,DE,2025-01,721
36,US,2025-09,659
37,US,2024-02,880
38,AT,2024-03,670
39,IT,2025-03,877
40,IT,2025-10,454
41,US,2024-07,660
42,DE,2024-02,332
43,DE,2025-03,308
44,IT,2024-02,303
45,FR,2025-06,735
46,US,2024-03,234
47,US,2025-06,353
48,AT,2024-04,62
49,US,2024-05,933
50,US,2024-07,314
51,US,2025-01,864
52,IT,2024-08,822
53,US,2025-01,245
54,DE,2024-07,101
55,US,2024-07,68
56,AT,2025-04,723
57,AT,2024-12,159
58,US,2024-04,589
59,BE,2024-12,412
60,DE,2024-06,882
61,US,2024-09,749
62,DE,2024-05,489
63,US,2024-01,742
64,US,2025-05,970
65,DE,2025-03,993
66,US,2025-09,879
67,US,2025-04,539
68,US,2024-09,648
69,IT,2024-02,799
70,US,2025-01,567
71,DE,2025-09,493
72,BE,2024-09,331
73,US,2025-03,365
74,US,2024-05,306
75,PL,2024-02,738
76,US,2024-06,290
77,US,2025-03,678
78,AT,2024-12,266
79,IT,2024-11,438
80,US,2024-09,46
81,US,2025-06,42
82,US,2024-07,917
83,DE,2025-08,296
84,US,2024-02,550
85,US,2024-11,348
86,IT,2025-02,594
87,RO,2025-07,283
88,US,2025-04,164
89,US,2025-06,197
90,FR,2025-12,420
91,MT,2025-04,618
92,FR,2024-03,212
93,IT,2025-11,156
94,AT,2025-03,683
95,US,2024-07,142
96,DE,2024-07,864
97,IT,2025-10,119
98,US,2024-01,953
99,FR,2025-12,564
100,US,2024-05,456
101,US,2024-10,996
102,US,2025-03,236
103,US,2025-04,879
104,US,2024-05,495
105,FR,2024-06,593
106,GR,2025-08,297
107,US,2025-09,308
108,DE,2024-09,289
109,IT,2024-11,157
110,US,2025-06,298
111,ES,2025-10,250
112,DE,2025-09,648
113,US,2025-04,655
114,US,2024-06,163
115,US,2024-10,72
116,US,2024-10,623
117,US,2025-03,147
118,US,2024-05,373
119,NL,2024-01,415
120,IT,2024-10,880
121,US,2025-10,508
122,AT,2025-05,356
123,FR,2025-09,960
124,DE,2025-12,278
125,FR,2024-08,15
126,IE,2024-05,216
127,IT,2024-02,172
128,US,2024-05,102
129,US,2025-03,358
130,US,2024-08,99
131,IT,2024-07,73
132,AT,2024-11,150
133,US,2024-04,188
134,CZ,2025-07,890
135,FR,2024-01,414
136,IT,2025-06,88
137,IE,2025-10,655
138,US,2025-11,646
139,US,2025-06,580
140,IT,2024-07,465
141,US,2025-06,330
142,US,2024-11,92
143,US,2025-04,681
144,FR,2024-03,254
145,BE,2024-02,172
146,FR,2025-08,699
147,MT,2024-01,29
148,US,2025-12,802
149,US,2025-09,669
150,IT,2024-01,757
151,US,2025-10,136
152,US,2024-04,91
153,AT,2024-11,133
154,DE,2025-04,451
155,CY,2025-08,256
156,PL,2025-05,893
157,DE,2024-06,121
158,US,2025-01,136
159,AT,2025-12,650
160,US,2025-04,413
161,ES,2024-05,642
162,DE,2024-10,81
163,ES,2024-09,995
164,US,2025-09,513
165,DE,2024-02,465
166,NL,2025-09,254
167,IT,2024-12,946
168,SE,2025-10,80
169,US,2024-06,756
170,US,2025-09,628
171,US,2024-06,273
172,DE,2024-08,116
173,DE,2025-02,395
174,US,2024-06,189
175,US,2024-11,448
176,US,2024-10,988
177,US,2024-10,810
178,DE,2025-03,549
179,US,2025-04,863
180,PT,2025-07,340
181,US,2025-11,35
182,US,2025-12,658
183,IT,2024-02,774
184,US,2024-04,567
185,FR,2024-03,595
186,US,2024-11,669
187,US,2024-08,242
188,DE,2025-09,136
189,US,2025-03,855
190,US,2025-03,557
191,US,2024-06,376
192,US,2025-09,964
193,US,2024-07,302
194,IT,2024-04,327
195,ES,2025-01,308
196,US,2024-07,800
197,US,2024-03,799
198,IT,2024-11,852
199,US,2024-04,930
200,US,2024-06,57
201,US,2025-05,979
202,US,2025-12,809
203,DE,2024-08,267
204,HR,2024-08,784
205,ES,2024-01,218
206,FI,2025-04,64
207,US,2024-04,974
208,IT,2024-10,608
209,US,2024-04,808
210,US,2024-10,337
211,AT,2024-09,221
